// Compost colors for create_tank_defenses. You may add your own colors, change existing ones, or remove colors that aren't needed.
alpha_titanium_dust, #55a5ff
steel_ocean_cage_armor, #2986eb
steel_ocean_reinforced_cage_armor, #3a84e8
steel_overgrown_cage_armor, #225c34
steel_overgrown_reinforced_cage_armor, #225c34
steel_purity_cage_armor, #d35ed0
steel_purity_reinforced_cage_armor, #d25ccf
steel_reinforced_cage_armor, #666666
steel_reinforced_crimson_cage_armor, #8d1515
steel_river_cage_armor, #20eeff
steel_river_reinforced_cage_armor, #20edff
steel_sea_cage_armor, #20337d
steel_sea_reinforced_cage_armor, #1f307a
steel_sheet, #909090
steel_snow_cage_armor, #ffffff
steel_snow_reinforced_cage_armor, #ffffff
steel_sunflower_cage_armor, #ffde47
steel_sunflower_reinforced_cage_armor, #ffdd46
steel_swamp_cage_armor, #6e7955
steel_swamp_reinforced_cage_armor, #6c7854
steel_vengeful_cage_armor, #751414
steel_vengeful_reinforced_cage_armor, #8d1515
steel_woods_cage_armor, #b4895a
steel_woods_reinforced_cage_armor, #b2895c
thermal_conductive_plate, #ffffff
thermite_dust, #7d2626
titanium_ashes_cage_armor, #444444
titanium_ashes_reinforced_cage_armor, #464646
titanium_cage_armor, #1469cc
titanium_caramel_cage_armor, #d2540e
titanium_caramel_reinforced_cage_armor, #c84a05
titanium_cell_cage_armor, #ff7fff
titanium_cell_reinforced_cage_armor, #ff86ff
titanium_ceramic_cage_armor, #1fc8e6
titanium_ceramic_reinforced_cage_armor, #25cfed
titanium_charcoal_cage_armor, #373737
titanium_charcoal_reinforced_cage_armor, #3a3a3a
titanium_cream_cage_armor, #eade98
titanium_cream_reinforced_cage_armor, #f1e6a0
titanium_crimson_cage_armor, #900a0a
titanium_crimson_reinforced_cage_armor, #970505
titanium_desert_cage_armor, #fffffb
titanium_desert_reinforced_cage_armor, #ffffff
titanium_dust, #a5caff
titanium_dusty_cage_armor, #e3c29a
titanium_dusty_reinforced_cage_armor, #eac9a1
titanium_foggy_cage_armor, #394472
titanium_foggy_reinforced_cage_armor, #485482
titanium_forest_cage_armor, #4d7f1f
titanium_forest_reinforced_cage_armor, #548623
titanium_ingot, #96bcff
titanium_mesa_cage_armor, #ff9e3c
titanium_mesa_reinforced_cage_armor, #ff8d29
titanium_military_cage_armor, #57692a
titanium_military_reinforced_cage_armor, #5e7032
titanium_morning_cage_armor, #eab61f
titanium_morning_reinforced_cage_armor, #f1be25
titanium_moss_cage_armor, #91c85a
titanium_moss_reinforced_cage_armor, #87be50
titanium_muddy_cage_armor, #64401b
titanium_muddy_reinforced_cage_armor, #805c37
titanium_nugget, #79a0ff
titanium_overgrown_cage_armor, #1c552d
titanium_overgrown_reinforced_cage_armor, #1f5a32
titanium_purity_cage_armor, #d762d4
titanium_purity_reinforced_cage_armor, #de69dc
titanium_reinforced_cage_armor, #1c76d9
titanium_river_cage_armor, #25f2ff
titanium_river_reinforced_cage_armor, #2cfaff
titanium_sea_cage_armor, #192a75
titanium_sea_reinforced_cage_armor, #182973
titanium_sheet, #87aeff
titanium_snow_cage_armor, #ffffff
titanium_snow_reinforced_cage_armor, #ffffff
titanium_sunflower_cage_armor, #ffe34b
titanium_sunflower_reinforced_cage_armor, #ffea52
titanium_swamp_cage_armor, #727d5a
titanium_swamp_reinforced_cage_armor, #798461
titanium_vengeful_cage_armor, #900a0a
titanium_vengeful_reinforced_cage_armor, #781616
titanium_woods_cage_armor, #a0784b
titanium_woods_reinforced_cage_armor, #966e41
trinitrotoluene, #ffffd2
washed_steel_cage_armor, #a8a8a8
washed_steel_reinforced_cage_armor, #b6b6b6
washed_titanium_cage_armor, #909090
washed_titanium_reinforced_cage_armor, #898989
